Matched phv,TOPMed Study,TOPMed Harmonized Variable,dbGap Variable Description,dbGap Variable Name,TOPMed Component ID,dbGap phs,dbGap phv,dbGap pht,dbGap pht Name,dbGap Study Name
phv00159754,COPDGene,current_smoker_baseline_1,How many cigarettes have you smoked in the past 24 hours [cigarettes],CigSmok24hrs,phs000179.v5.pht002239.v4.phv00159754.v4,phs000179.v6.p2,phv00159754.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159755,COPDGene,current_smoker_baseline_1,How many cigarettes have you smoked in the past 2 hours [cigarettes],CigSmok2hrs,phs000179.v5.pht002239.v4.phv00159755.v4,phs000179.v6.p2,phv00159755.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159756,COPDGene,current_smoker_baseline_1,How many cigarettes have you smoked in the past half hour [cigarettes],CigSmokHalfHr,phs000179.v5.pht002239.v4.phv00159756.v4,phs000179.v6.p2,phv00159756.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159836,COPDGene,current_smoker_baseline_1,Age at enrollment,Age_Enroll,phs000179.v5.pht002239.v4.phv00159836.v4,phs000179.v6.p2,phv00159836.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00226251,HCHS_SOL,current_smoker_baseline_1,Age,AGE,phs000810.v1.pht004715.v1.phv00226251.v1,phs000810.v2.p2,phv00226251.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258106,HCHS_SOL,current_smoker_baseline_1,Smoke at least 100 cigs in lifetime (TBEA1),TBEA1,phs000810.v1.pht004715.v1.phv00258106.v1,phs000810.v2.p2,phv00258106.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258107,HCHS_SOL,current_smoker_baseline_1,Present Smoking Status (TBEA3),TBEA3,phs000810.v1.pht004715.v1.phv00258107.v1,phs000810.v2.p2,phv00258107.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258108,HCHS_SOL,current_smoker_baseline_1,Daily: Cigs per Day - Present (TBEA4),TBEA4,phs000810.v1.pht004715.v1.phv00258108.v1,phs000810.v2.p2,phv00258108.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258110,HCHS_SOL,current_smoker_baseline_1,Some: Past 30 days - quit smoking 6 months or longer (TBEA5A),TBEA5A,phs000810.v1.pht004715.v1.phv00258110.v1,phs000810.v2.p2,phv00258110.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00128496,JHS,current_smoker_baseline_1,"Q1. Smoked at least 400 cigarettes in your lifetime [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA1,phs000286.v5.pht001977.v1.phv00128496.v1,phs000286.v7.p2,phv00128496.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128498,JHS,current_smoker_baseline_1,"Q3. Do you now smoke cigarettes [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA3,phs000286.v5.pht001977.v1.phv00128498.v1,phs000286.v7.p2,phv00128498.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00082639,MESA,current_smoker_baseline_1,AGE,age1c,phs000209.v13.pht001111.v4.phv00082639.v2,phs000209.v13.p3,phv00082639.v2.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00083243,MESA,current_smoker_baseline_1,SMOKED AT LEAST 100 CIGARETTES IN LIFETIME,evsmk1,phs000209.v13.pht001111.v4.phv00083243.v1,phs000209.v13.p3,phv00083243.v1.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00083245,MESA,current_smoker_baseline_1,CIGARETTES: SMOKED IN LAST 30 DAYS,cursmk1,phs000209.v13.pht001111.v4.phv00083245.v1,phs000209.v13.p3,phv00083245.v1.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00084442,MESA,current_smoker_baseline_1,AGE,age1c,phs000209.v13.pht001116.v10.phv00084442.v3,phs000209.v13.p3,phv00084442.v3.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00085570,MESA,current_smoker_baseline_1,SMOKED AT LEAST 100 CIGARETTES IN LIFETIME,evsmk1,phs000209.v13.pht001116.v10.phv00085570.v2,phs000209.v13.p3,phv00085570.v2.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00085572,MESA,current_smoker_baseline_1,CIGARETTES: SMOKED IN LAST 30 DAYS,cursmk1,phs000209.v13.pht001116.v10.phv00085572.v2,phs000209.v13.p3,phv00085572.v2.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00087071,MESA,current_smoker_baseline_1,AGE,agefc,phs000209.v13.pht001121.v3.phv00087071.v1,phs000209.v13.p3,phv00087071.v1.p3,pht001121.v3.p3,MESA_FamilyExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00087252,MESA,current_smoker_baseline_1,SMOKED 100+ CIGARETTES IN LIFETIME,evsmkf,phs000209.v13.pht001121.v3.phv00087252.v1,phs000209.v13.p3,phv00087252.v1.p3,pht001121.v3.p3,MESA_FamilyExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00087254,MESA,current_smoker_baseline_1,SMOKED CIGARETTES IN THE LAST 30 DAYS,cursmkf,phs000209.v13.pht001121.v3.phv00087254.v1,phs000209.v13.p3,phv00087254.v1.p3,pht001121.v3.p3,MESA_FamilyExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00078436,WHI,current_smoker_baseline_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,current_smoker_baseline_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078773,WHI,current_smoker_baseline_1,F34 Days since randomization/enrollment,F34DAYS,phs000200.v11.pht001003.v6.phv00078773.v6,phs000200.v12.p3,phv00078773.v6.p3,pht001003.v6.p3,f34_rel2,Women's Health Initiative
phv00078774,WHI,current_smoker_baseline_1,Smoked at least 100 cigarettes ever,SMOKEVR,phs000200.v11.pht001003.v6.phv00078774.v6,phs000200.v12.p3,phv00078774.v6.p3,pht001003.v6.p3,f34_rel2,Women's Health Initiative
phv00078776,WHI,current_smoker_baseline_1,Smoke cigarettes now,SMOKNOW,phs000200.v11.pht001003.v6.phv00078776.v6,phs000200.v12.p3,phv00078776.v6.p3,pht001003.v6.p3,f34_rel2,Women's Health Initiative
phv00203154,ARIC,weight_baseline_1,"[Height and weight]. Weight (to the nearest lb). Q4 [Anthropometry Form, ANTA. Visit 1]",ANTA04,phs000280.v5.pht004032.v2.phv00203154.v1,phs000280.v8.p2,phv00203154.v2.p2,pht004032.v3.p2,ANTA,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00204712,ARIC,weight_baseline_1,Age at visit 1 [Cohort. Visit 1],V1AGE01,phs000280.v5.pht004063.v2.phv00204712.v1,phs000280.v8.p2,phv00204712.v2.p2,pht004063.v3.p2,DERIVE13,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00112439,CARDIA,weight_baseline_1,AGE VERIFY,A01AGE2,phs000285.v3.pht001559.v2.phv00112439.v2,phs000285.v3.p2,phv00112439.v2.p2,pht001559.v2.p2,A4F01,CARDIA Cohort
phv00113635,CARDIA,weight_baseline_1,"PT'S WGT, LBS. Q 2",A20WGT,phs000285.v3.pht001583.v2.phv00113635.v2,phs000285.v3.p2,phv00113635.v2.p2,pht001583.v2.p2,A4F20,CARDIA Cohort
phv00100383,CHS,weight_baseline_1,WEIGHT - LBS,WEIGHT13,phs000287.v6.pht001452.v1.phv00100383.v1,phs000287.v7.p1,phv00100383.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00100487,CHS,weight_baseline_1,CALCULATED AGE AT BASELINE,AGEBL,phs000287.v6.pht001452.v1.phv00100487.v1,phs000287.v7.p1,phv00100487.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00159591,COPDGene,weight_baseline_1,Weight [kg],Weight_KG,phs000179.v5.pht002239.v4.phv00159591.v4,phs000179.v6.p2,phv00159591.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159836,COPDGene,weight_baseline_1,Age at enrollment,Age_Enroll,phs000179.v5.pht002239.v4.phv00159836.v4,phs000179.v6.p2,phv00159836.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00226251,HCHS_SOL,weight_baseline_1,Age,AGE,phs000810.v1.pht004715.v1.phv00226251.v1,phs000810.v2.p2,phv00226251.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00253218,HCHS_SOL,weight_baseline_1,Weight (kg) (ANTA4),ANTA4,phs000810.v1.pht004715.v1.phv00253218.v1,phs000810.v2.p2,phv00253218.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00125861,JHS,weight_baseline_1,A. Height and weight. 2: Weight to nearest kilogram [Visit 1],antv2,phs000286.v5.pht001940.v1.phv00125861.v1,phs000286.v7.p2,phv00125861.v2.p2,pht001940.v2.p2,antv,Jackson Heart Study (JHS) Cohort
phv00082639,MESA,weight_baseline_1,AGE,age1c,phs000209.v13.pht001111.v4.phv00082639.v2,phs000209.v13.p3,phv00082639.v2.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00082685,MESA,weight_baseline_1,WEIGHT (lbs),wtlb1,phs000209.v13.pht001111.v4.phv00082685.v1,phs000209.v13.p3,phv00082685.v1.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00084442,MESA,weight_baseline_1,AGE,age1c,phs000209.v13.pht001116.v10.phv00084442.v3,phs000209.v13.p3,phv00084442.v3.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00084484,MESA,weight_baseline_1,WEIGHT (lbs),wtlb1,phs000209.v13.pht001116.v10.phv00084484.v2,phs000209.v13.p3,phv00084484.v2.p3,pht001116.v10.p3,MESA_Exam1Main,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00087071,MESA,weight_baseline_1,AGE,agefc,phs000209.v13.pht001121.v3.phv00087071.v1,phs000209.v13.p3,phv00087071.v1.p3,pht001121.v3.p3,MESA_FamilyExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00087079,MESA,weight_baseline_1,WEIGHT (lbs),wtlbf,phs000209.v13.pht001121.v3.phv00087079.v1,phs000209.v13.p3,phv00087079.v1.p3,pht001121.v3.p3,MESA_FamilyExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00078436,WHI,weight_baseline_1,F2 Days since randomization,F2DAYS,phs000200.v11.pht000998.v6.phv00078436.v6,phs000200.v12.p3,phv00078436.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00078437,WHI,weight_baseline_1,Age at screening,AGE,phs000200.v11.pht000998.v6.phv00078437.v6,phs000200.v12.p3,phv00078437.v6.p3,pht000998.v6.p3,f2_rel1,Women's Health Initiative
phv00079851,WHI,weight_baseline_1,Visit year,F80VY,phs000200.v11.pht001019.v6.phv00079851.v6,phs000200.v12.p3,phv00079851.v6.p3,pht001019.v6.p3,f80_rel1,Women's Health Initiative
phv00079852,WHI,weight_baseline_1,F80 Days since randomization/enrollment,F80DAYS,phs000200.v11.pht001019.v6.phv00079852.v6,phs000200.v12.p3,phv00079852.v6.p3,pht001019.v6.p3,f80_rel1,Women's Health Initiative
phv00079859,WHI,weight_baseline_1,F80 Weight kg,WEIGHTX,phs000200.v11.pht001019.v6.phv00079859.v6,phs000200.v12.p3,phv00079859.v6.p3,pht001019.v6.p3,f80_rel1,Women's Health Initiative
phv00204712,ARIC,ever_smoker_baseline_1,Age at visit 1 [Cohort. Visit 1],V1AGE01,phs000280.v5.pht004063.v2.phv00204712.v1,phs000280.v8.p2,phv00204712.v2.p2,pht004063.v3.p2,DERIVE13,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00207368,ARIC,ever_smoker_baseline_1,Have you ever smoked cigarettes? Q28 [Home Interview. HOM. Visit 1],HOM28,phs000280.v5.pht004111.v2.phv00207368.v1,phs000280.v8.p2,phv00207368.v2.p2,pht004111.v3.p2,HOM,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00207369,ARIC,ever_smoker_baseline_1,How old were you when you first started regular cigarette smoking? Q29 [Home Interview. HOM. Visit 1],HOM29,phs000280.v5.pht004111.v2.phv00207369.v1,phs000280.v8.p2,phv00207369.v2.p2,pht004111.v3.p2,HOM,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00207370,ARIC,ever_smoker_baseline_1,Do you now smoke cigarettes? Q30 [Home Interview. HOM. Visit 1],HOM30,phs000280.v5.pht004111.v2.phv00207370.v1,phs000280.v8.p2,phv00207370.v2.p2,pht004111.v3.p2,HOM,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00207375,ARIC,ever_smoker_baseline_1,"On the average of the entire time you smoked, how many cigarettes did you usually smoke per day? Q35 [Home Interview. HOM. Visit 1]",HOM35,phs000280.v5.pht004111.v2.phv00207375.v1,phs000280.v8.p2,phv00207375.v2.p2,pht004111.v3.p2,HOM,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00207376,ARIC,ever_smoker_baseline_1,(Do/did) you inhale the cigarette smoke? Q36 [Home Interview. HOM. Visit 1],HOM36,phs000280.v5.pht004111.v2.phv00207376.v1,phs000280.v8.p2,phv00207376.v2.p2,pht004111.v3.p2,HOM,Atherosclerosis Risk in Communities (ARIC) Cohort
phv00112439,CARDIA,ever_smoker_baseline_1,AGE VERIFY,A01AGE2,phs000285.v3.pht001559.v2.phv00112439.v2,phs000285.v3.p2,phv00112439.v2.p2,pht001559.v2.p2,A4F01,CARDIA Cohort
phv00113213,CARDIA,ever_smoker_baseline_1,SUBJECT HAS SMOKED CIGARETTES. Q 2,A10CIGS,phs000285.v3.pht001573.v2.phv00113213.v2,phs000285.v3.p2,phv00113213.v2.p2,pht001573.v2.p2,A4F10,CARDIA Cohort
phv00098844,CHS,ever_smoker_baseline_1,SMOKED IN LIFETIME,SMOKE101,phs000287.v6.pht001450.v1.phv00098844.v1,phs000287.v7.p1,phv00098844.v1.p1,pht001450.v1.p1,BASE1,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00098845,CHS,ever_smoker_baseline_1,SMOKED CIGARETTES LAST 30 DAYS,SMOKE201,phs000287.v6.pht001450.v1.phv00098845.v1,phs000287.v7.p1,phv00098845.v1.p1,pht001450.v1.p1,BASE1,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00099157,CHS,ever_smoker_baseline_1,HOW OLD WHEN YOU STARTED TO SMOKE,SMKAGE08,phs000287.v6.pht001450.v1.phv00099157.v1,phs000287.v7.p1,phv00099157.v1.p1,pht001450.v1.p1,BASE1,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00099159,CHS,ever_smoker_baseline_1,HOW MANY DID YOU SMOKE PER DAY ON AVER (99=UNKNOWN),AMOUNT08,phs000287.v6.pht001450.v1.phv00099159.v1,phs000287.v7.p1,phv00099159.v1.p1,pht001450.v1.p1,BASE1,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00100487,CHS,ever_smoker_baseline_1,CALCULATED AGE AT BASELINE,AGEBL,phs000287.v6.pht001452.v1.phv00100487.v1,phs000287.v7.p1,phv00100487.v1.p1,pht001452.v1.p1,BASEBOTH,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00105143,CHS,ever_smoker_baseline_1,SMOKED IN LIFETIME,SMOKE101,phs000287.v6.pht001490.v1.phv00105143.v1,phs000287.v7.p1,phv00105143.v1.p1,pht001490.v1.p1,YR5NEW,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00105144,CHS,ever_smoker_baseline_1,SMOKED CIGARETTES LAST 30 DAYS,SMOKE201,phs000287.v6.pht001490.v1.phv00105144.v1,phs000287.v7.p1,phv00105144.v1.p1,pht001490.v1.p1,YR5NEW,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00106198,CHS,ever_smoker_baseline_1,HOW OLD WHEN YOU STARTED TO SMOKE,SMKAGE58,phs000287.v6.pht001490.v1.phv00106198.v1,phs000287.v7.p1,phv00106198.v1.p1,pht001490.v1.p1,YR5NEW,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00106200,CHS,ever_smoker_baseline_1,HOW MANY DID YOU SMOKE PER DAY ON AVER.,AMOUNT58,phs000287.v6.pht001490.v1.phv00106200.v1,phs000287.v7.p1,phv00106200.v1.p1,pht001490.v1.p1,YR5NEW,Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older
phv00159636,COPDGene,ever_smoker_baseline_1,How soon after waking do you smoke first cigarette,HowSoonSmoke,phs000179.v5.pht002239.v4.phv00159636.v4,phs000179.v6.p2,phv00159636.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159637,COPDGene,ever_smoker_baseline_1,Smoke more during first 2 hours of day than rest of day,SmokeMore2hrs,phs000179.v5.pht002239.v4.phv00159637.v4,phs000179.v6.p2,phv00159637.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159638,COPDGene,ever_smoker_baseline_1,Which cigarette would you hate most to give up,CigHateGiveUp,phs000179.v5.pht002239.v4.phv00159638.v4,phs000179.v6.p2,phv00159638.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159639,COPDGene,ever_smoker_baseline_1,Do you find it hard to not smoke in forbidden places,FindHardNotSmoke,phs000179.v5.pht002239.v4.phv00159639.v4,phs000179.v6.p2,phv00159639.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159640,COPDGene,ever_smoker_baseline_1,Smoke when so ill you are in bed most of day,SmokeSickBed,phs000179.v5.pht002239.v4.phv00159640.v4,phs000179.v6.p2,phv00159640.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159641,COPDGene,ever_smoker_baseline_1,Do you now or did you smoke menthol cigarettes,SmokeMenthol,phs000179.v5.pht002239.v4.phv00159641.v4,phs000179.v6.p2,phv00159641.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159747,COPDGene,ever_smoker_baseline_1,Have you ever smoked cigarettes?,EverSmokedCig,phs000179.v5.pht002239.v4.phv00159747.v4,phs000179.v6.p2,phv00159747.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159748,COPDGene,ever_smoker_baseline_1,How old were you when you first started cigarette smoking? [Years old],SmokStartAge,phs000179.v5.pht002239.v4.phv00159748.v4,phs000179.v6.p2,phv00159748.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159749,COPDGene,ever_smoker_baseline_1,Do you now smoke cigarettes [as of one month ago]?,SmokCigNow,phs000179.v5.pht002239.v4.phv00159749.v4,phs000179.v6.p2,phv00159749.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159750,COPDGene,ever_smoker_baseline_1,How many cigarettes do you smoke per day now? [Cigarettes/day],CigPerDaySmokNow,phs000179.v5.pht002239.v4.phv00159750.v4,phs000179.v6.p2,phv00159750.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159752,COPDGene,ever_smoker_baseline_1,Average for entire time how many cigarettes smoked per day [cigarettes/day],CigPerDaySmokAvg,phs000179.v5.pht002239.v4.phv00159752.v4,phs000179.v6.p2,phv00159752.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159754,COPDGene,ever_smoker_baseline_1,How many cigarettes have you smoked in the past 24 hours [cigarettes],CigSmok24hrs,phs000179.v5.pht002239.v4.phv00159754.v4,phs000179.v6.p2,phv00159754.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159755,COPDGene,ever_smoker_baseline_1,How many cigarettes have you smoked in the past 2 hours [cigarettes],CigSmok2hrs,phs000179.v5.pht002239.v4.phv00159755.v4,phs000179.v6.p2,phv00159755.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159756,COPDGene,ever_smoker_baseline_1,How many cigarettes have you smoked in the past half hour [cigarettes],CigSmokHalfHr,phs000179.v5.pht002239.v4.phv00159756.v4,phs000179.v6.p2,phv00159756.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00159836,COPDGene,ever_smoker_baseline_1,Age at enrollment,Age_Enroll,phs000179.v5.pht002239.v4.phv00159836.v4,phs000179.v6.p2,phv00159836.v4.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00169388,COPDGene,ever_smoker_baseline_1,Duration of smoking [yrs],Duration_Smoking,phs000179.v5.pht002239.v4.phv00169388.v3,phs000179.v6.p2,phv00169388.v3.p2,pht002239.v4.p2,COPDGene_Subject_Phenotypes,Genetic Epidemiology of COPD (COPDGene)
phv00226251,HCHS_SOL,ever_smoker_baseline_1,Age,AGE,phs000810.v1.pht004715.v1.phv00226251.v1,phs000810.v2.p2,phv00226251.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258106,HCHS_SOL,ever_smoker_baseline_1,Smoke at least 100 cigs in lifetime (TBEA1),TBEA1,phs000810.v1.pht004715.v1.phv00258106.v1,phs000810.v2.p2,phv00258106.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258107,HCHS_SOL,ever_smoker_baseline_1,Present Smoking Status (TBEA3),TBEA3,phs000810.v1.pht004715.v1.phv00258107.v1,phs000810.v2.p2,phv00258107.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258108,HCHS_SOL,ever_smoker_baseline_1,Daily: Cigs per Day - Present (TBEA4),TBEA4,phs000810.v1.pht004715.v1.phv00258108.v1,phs000810.v2.p2,phv00258108.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00258110,HCHS_SOL,ever_smoker_baseline_1,Some: Past 30 days - quit smoking 6 months or longer (TBEA5A),TBEA5A,phs000810.v1.pht004715.v1.phv00258110.v1,phs000810.v2.p2,phv00258110.v2.p2,pht004715.v2.p2,HCHS_SOL_Cohort_Subject_Phenotypes,Hispanic Community Health Study /Study of Latinos (HCHS/SOL)
phv00128496,JHS,ever_smoker_baseline_1,"Q1. Smoked at least 400 cigarettes in your lifetime [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA1,phs000286.v5.pht001977.v1.phv00128496.v1,phs000286.v7.p2,phv00128496.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128498,JHS,ever_smoker_baseline_1,"Q3. Do you now smoke cigarettes [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA3,phs000286.v5.pht001977.v1.phv00128498.v1,phs000286.v7.p2,phv00128498.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128502,JHS,ever_smoker_baseline_1,"Q6. Do you smoke more frequently during the first few hours after awakening than during the rest of the day? [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA6,phs000286.v5.pht001977.v1.phv00128502.v1,phs000286.v7.p2,phv00128502.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128503,JHS,ever_smoker_baseline_1,"Q7. How soon after you wake up do you smoke your first cigarette? [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA7,phs000286.v5.pht001977.v1.phv00128503.v1,phs000286.v7.p2,phv00128503.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128506,JHS,ever_smoker_baseline_1,"Q10. Do you smoke if you are so ill that you are in bed most of the day? [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA10,phs000286.v5.pht001977.v1.phv00128506.v1,phs000286.v7.p2,phv00128506.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00128507,JHS,ever_smoker_baseline_1,"Q11. On the average for the entire time you have smoked, how many cigarettes did you smoke usually per day? [Visit 1] [Health Practices: Tobacco Use, TOB]",TOBA11,phs000286.v5.pht001977.v1.phv00128507.v1,phs000286.v7.p2,phv00128507.v2.p2,pht001977.v2.p2,toba,Jackson Heart Study (JHS) Cohort
phv00082639,MESA,ever_smoker_baseline_1,AGE,age1c,phs000209.v13.pht001111.v4.phv00082639.v2,phs000209.v13.p3,phv00082639.v2.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
phv00083243,MESA,ever_smoker_baseline_1,SMOKED AT LEAST 100 CIGARETTES IN LIFETIME,evsmk1,phs000209.v13.pht001111.v4.phv00083243.v1,phs000209.v13.p3,phv00083243.v1.p3,pht001111.v4.p3,MESA_AirNRExamMain,Multi-Ethnic Study of Atherosclerosis (MESA) Cohort
