Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
EDUCLEV,Framingham,ex1_2d_v3.b43,D201-099-YEARS-EDUCATION,0.159914712
EDUCLEV,MESA,mesae1dres20220813.educ1,EDUCATION: HIGHEST LEVEL COMPLETED,0.337540358
EDUCLEV,REGARDS,baseline_calculated_variables.ED_CAT,-,-
EVENT,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_DESC,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_DESC,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_DESC,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_DESC,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_DESC,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
EVENT_T2_O,ARIC,incps18.fthem18,Follow-up HEM Strokes (days),-
EVENT_T2_O,ARIC,incps18.ft18chm,Follow-up CHM Strokes (days),-
EVENT_T2_O,ARIC,incps18.ftisc18,Follow-up ISC Strokes (days),-
EVENT_T2_O,ARIC,incps18.ft18dp,Follow-up DP Strokes (days),-
EVENT_T2_O,ARIC,incps18.ftdpp18,Follow-up DPP Strokes (days),-
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.strktt,Time to Stroke or End of Year 2015 (days),0.4549457
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.strktt,Time to Stroke or End of Year 2015 (days),0.4549457
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.strktt,Time to Stroke or End of Year 2015 (days),0.4549457
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.strktt,Time to Stroke or End of Year 2015 (days),0.4549457
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.dthtt,Time to All-Cause Death or End of Year 2015 (days),0.308189023
EVENT_T2_O,MESA,mesaevthr2015_drepos_20200330.fuptt,Time until most recent follow-up (days),0.073378339
EVENT_VAL_C,ARIC,incps18.inhem18,Def/Prob Hemmorrhagic Inc. Stroke by Censoring Date,-
EVENT_VAL_C,ARIC,incps18.inchm18,Def/Prob Combined Hemm Inc. Stroke by Censoring Date,-
EVENT_VAL_C,ARIC,incps18.inisc18,Def/Prob Ischemic Inc. Stroke by Censoring Date,-
EVENT_VAL_C,ARIC,incps18.indp18,Def/Prob Incident Stroke by Censoring Date,-
EVENT_VAL_C,ARIC,incps18.indpp18,Def/Prob/Poss Inc. Stroke by Censoring Date,-
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strk,Stroke,0.4549457
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strk,Stroke,0.4549457
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strktype,Stroke type,-
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strk,Stroke,0.4549457
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strktype,Stroke type,-
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strk,Stroke,0.4549457
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.strktype,Stroke type,-
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.dth,Death,0.308189023
EVENT_VAL_C,MESA,mesaevthr2015_drepos_20200330.dthtype,Death type,80.96565894
FAM_INCOME,ARIC,hom.hom62,COMBINED FAMILY INCOME GROUP Q62,5.659622692
FAM_INCOME,ARIC,sesa04.sesa6,HOUSEHOLD INCOME LAST YEAR Q6,-
FAM_INCOME,Framingham,q_psych_ex03_1_0167d.py125,Current total family income/yr before tx,20.96008931
FAM_INCOME,MESA,mesae1dres20220813.income1,"TOTAL GROSS FAMILY INCOME, PAST 12 MONTHS",4.006457294
FAM_INCOME,REGARDS,baseline_calculated_variables.INCOME,-,12.35794984
FASTING,REGARDS,baseline_calculated_variables.FASTED,-,-
FASTING_12HR,ARIC,derive13.fast1202,FASTING TIME OF 12 HOURS OR MORE,0.459877366
FASTING_12HR,ARIC,derive2_10.fast1223,"V2 Fast 12 Hrs or More, Definition 2",0.308710033
FASTING_12HR,ARIC,derive37.fast1234,Fasting Time of 12 Hours or More,0.812407681
FASTING_8HR,ARIC,derive13.fast0802,FASTING TIME OF 8 HOURS OR MORE,0.446547587
FASTING_8HR,ARIC,derive2_10.fast0823,"V2 Fast 8 Hrs or More, Definition 2",0.301359794
FASTING_8HR,ARIC,derive37.fast0834,Fasting Time of 8 Hours or More,0.812407681
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg3,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 3",29.17000802
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg4,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 4",26.98476343
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg5,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 5",27.5862069
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg6,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 6",33.72093023
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg7,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 7",35.56535686
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg8,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 8",43.68484362
FASTING_BG,Framingham,vr_wkthru_ex09_1_1001d.fasting_bg9,"Fasting (>= 8 hours) blood glucose (mg/dL), Exam 9",55.87409783
FASTING_BG,MESA,mesae1dres20220813.glucos1c,Exam 1 Fasting Glucose- Calibrated,0.366891694
FASTING_BG,MESA,mesae2dres06222012.glucos2c,FASTING GLUCOSE (mg/dL) CALIBRATED,9.245670678
FASTING_BG,MESA,mesae3dres06222012.glucos3c,FASTING GLUCOSE (mg/dL) CALIBRATED,13.604344
FASTING_BG,MESA,mesae4dres06222012.glucos4c,Fasting Glucose (mg/dL) Calibrated,17.31728794
FASTING_BG,MESA,mesae5_drepos_20220820.glucose5,FASTING GLUCOSE (mg/dl),2.735368957
FH_STROKE,ARIC,derive13.momhistorystr,New Maternal History of Stroke,5.131964809
FH_STROKE,ARIC,derive13.dadhistorystr,New Paternal History of Stroke,9.72407358
FH_STROKE,Framingham,ex1_6d_v1.f692,FATHER-HAVE STROKE BEFORE AGE 65,12.28378775
FH_STROKE,Framingham,ex1_6d_v1.f701,MOTHER-HAVE STROKE BEFORE AGE 65,11.6388156
FH_STROKE,MESA,mesae1dres20220813.pstk1,FAMILY HISTORY OF STROKE: PARENT,0.058702671
FH_STROKE,REGARDS,family_history.MOMSTROKE,-,-
FH_STROKE,REGARDS,family_history.DADSTROKE,-,-
FRUITS,ARIC,dtia.dtia09,CONSUMED APPLES OR PEARS Q9,-
FRUITS,ARIC,dtia.dtia10,CONSUMED ORANGES Q10,-
FRUITS,ARIC,dtia.dtia12,CONSUMED PEACHES APRICOTS PLUMS Q12,-
FRUITS,ARIC,dtia.dtia13,CONSUMED BANANAS Q13,-
FRUITS,ARIC,dtia.dtia14,CONSUMED OTHER FRUITS Q14,-
FRUITS,ARIC,dtic04.dtic9,CONSUMED APPLES OR PEARS Q9,-
FRUITS,ARIC,dtic04.dtic10,CONSUMED ORANGES Q10,-
FRUITS,ARIC,dtic04.dtic12,CONSUMED PEACHES APRICOTS PLUMS Q12,-
FRUITS,ARIC,dtic04.dtic13,CONSUMED BANANAS Q13,-
FRUITS,ARIC,dtic04.dtic14,CONSUMED OTHER FRUITS Q14,-
FRUITS,Framingham,q_ffreq_ex03_1_0302d.apple,FRESH APPLE OR PAIR,1.35209713
FRUITS,Framingham,q_ffreq_ex03_1_0302d.orange,ORANGE OR TANGERINE,2.069536424
FRUITS,Framingham,q_ffreq_ex03_1_0302d.grapfrut,HALF GRAPEFRUIT OR GLASS JUICE,1.90397351
FRUITS,Framingham,q_ffreq_ex03_1_0302d.peaches,"PEACHES,APRICOTS,PLUMS OR NECTARINES",1.379690949
FRUITS,Framingham,q_ffreq_ex03_1_0302d.bananas,BANANAS,1.07615894
FRUITS,Framingham,q_ffreq_ex03_1_0302d.strawber,"FRESH,FROZEN OR CANNED STRAWBERRIES",1.62803532
FRUITS,Framingham,q_ffreq_ex03_1_0302d.blackber,"BLACKBERRIES,BLUEBERRIES,RASPBERRIES",1.655629139
FRUITS,Framingham,q_ffreq_ex03_1_0302d.melon,CANTELOUPE OR HONEYDEW MELON-SLICE,1.379690949
FRUITS,Framingham,q_ffreq_ex03_1_0302d.watermel,SLICE OF WATERMELON,2.290286976
FRUITS,Framingham,q_ffreq_ex03_1_0302d.pineappl,FRESH OR CANNED PINEAPPLE,1.766004415
FRUITS,Framingham,q_ffreq_ex03_1_0302d.cherries,FRESH OR CANNED CHERRIES,1.931567329
FRUITS,Framingham,q_ffreq_ex03_1_0302d.papayas,HALF CUP PAPAYAS,1.90397351
FRUITS,Framingham,q_ffreq_ex03_1_0302d.avocados,ONE QUARTER OF AN AVOCADO,2.317880795
FRUITS,Framingham,q_ffreq_ex03_1_0302d.prunes,HALF CUP RAISINS OR DRY APRICOTS,1.738410596
FRUITS,Framingham,q_ffreq_ex03_1_0302d.dates,HALF CUP DATES OR FIGS,1.90397351
FRUITS,Framingham,q_ffreq_ex03_1_0302d.raisins,SMALL PACK RAISINS OR GRAPES,1.600441501
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd30,RAISINS:(servings/week),0.427069645
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd31,PRUNES:(servings/week),0.919842313
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd32,BANANAS:(servings/week),1.609724047
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd33,CANTALOUPE:(servings/week),0.985545335
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd34,WATERMELON:(servings/week),1.806833114
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd35,"APPLES/PEARS, FRESH:(servings/week)",1.149802891
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd37,ORANGES:(servings/week),1.741130092
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd39,GRAPEFRUIT:(servings/week),1.281208936
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd42,STRAWBERRIES:(servings/week),0.459921156
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd43,BLUEBERRIES:(servings/week),0.427069645
FRUITS,Framingham,vr_ffreq_ex06_1_0506d.ffd44,PEACHES:(servings/week),0.427069645
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd30,RAISINS:(servings/week),0.892525102
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd31,PRUNES:(servings/week),1.264410562
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd32,BANANAS:(servings/week),1.115656378
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd33,CANTALOUPE:(servings/week),1.301599108
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd34,WATERMELON:(servings/week),1.822238751
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd35,"APPLES/PEARS, FRESH:(servings/week)",1.338787653
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd37,ORANGES:(servings/week),1.375976199
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd39,GRAPEFRUIT:(servings/week),1.264410562
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd42,STRAWBERRIES:(servings/week),1.264410562
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd43,BLUEBERRIES:(servings/week),0.483451097
FRUITS,Framingham,vr_ffreq_ex08_1_0615d_v1.ffd44,PEACHES:(servings/week),0.557828189
FRUITS,REGARDS,ffq_analyzed.FRUITSRV,-,-
GENHLTH,ARIC,hom.hom09,HEALTH CONDITION Q9,-
GENHLTH,Framingham,ex1_5d_v1.e065,YOUR HEALTH NOW IN GENERAL,0.569414317
GENHLTH,Framingham,ex1_6d_v1.f087,YOUR HEALTH NOW IN GENERAL,1.026092055
GENHLTH,Framingham,ex1_7d_v2.g514,YOUR HEALTH NOW IN GENERAL,1.179516686
GENHLTH2,ARIC,sfe.sfe1,Rate general health,-
GENHLTH2,Framingham,e_exam_ex08_1_0005d.h714,"IN GENERAL, HOW IS YOUR HEALTH",2.244556114
GENHLTH2,Framingham,e_exam_ex09_1b_0844d.j890,SF-12 - HOW YOUR HLTH,4.242649795
GENHLTH2,MESA,mesae2dres06222012.genhel2,IN GENERAL YOUR HEALTH IS,8.77604931
GENHLTH2,REGARDS,baseline_calculated_variables.GEN_SR_HEALTH,-,-
GLUCOSE,ARIC,derive13.glucos01,DERIVED GLUCOSE VALUE in mg/dl,0.913089843
GLUCOSE,ARIC,chmb.chmb07,GLUCOSE (mg per dL) DEC PT REQ Q7,-
GLUCOSE,ARIC,lipc04.lipc4a,GLUCOSE (VALUE IN MG/DL) Q4A,-
GLUCOSE,ARIC,lipd04.lipd4a,FASTING GLUCOSE (VALUE) Q4A,0.009175154
GLUCOSE,ARIC,lip.lip23,Fasting Glucose (mg/dL),5.536742296
GLUCOSE,REGARDS,baseline_calculated_variables.GLUCOSE,-,4.330252129
HDL,ARIC,derive13.hdl01,RE-CALIBRATED HDL CHOL. in mg/dl,1.552919222
HDL,ARIC,lipb.lipb03a,HDL CHOLESTREROL (VALUE) Q3A,0.317906255
HDL,ARIC,lipc04.lipc3a,HDL CHOLESTEROL (VALUE IN MG/DL) Q3A,-
HDL,ARIC,lipd04.lipd3a,HDL CHOLESTEROL (VALUE) Q3A,0.009175154
HDL,ARIC,lip.lip13,HDLC-Cholesterol (mg/dL),0.914324416
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl1,"HDL cholesterol (mg/dL), Exam 1",2.08500401
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl2,"HDL cholesterol (mg/dL), Exam 2",26.4234162
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl3,"HDL cholesterol (mg/dL), Exam 3",27.34562951
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl4,"HDL cholesterol (mg/dL), Exam 4",23.957498
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl5,"HDL cholesterol (mg/dL), Exam 5",26.86447474
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl6,"HDL cholesterol (mg/dL), Exam 6",32.73857257
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl7,"HDL cholesterol (mg/dL), Exam 7",34.50280674
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl8,"HDL cholesterol (mg/dL), Exam 8",42.54210104
HDL,Framingham,vr_wkthru_ex09_1_1001d.hdl9,"HDL cholesterol (mg/dL), Exam 9",54.89174018
HDL,MESA,mesae1dres20220813.hdl1,HDL CHOLESTROL (mg/dl),0.381567361
HDL,MESA,mesae2dres06222012.hdl2,HDL CHOLESTEROL (mg/dl),9.260346346
HDL,MESA,mesae3dres06222012.hdl3,HDL CHOLESTEROL (mg/dl),13.54564133
HDL,MESA,mesae4dres06222012.hdl4,HDL Cholesterol (mg/dl),17.3319636
HDL,MESA,mesae5_drepos_20220820.hdl5,HDL CHOLESTROL (mg/dl),2.86259542
HDL,REGARDS,baseline_calculated_variables.HDL,-,4.813968128
HGT_CM,ARIC,anta.anta01,STANDING HEIGHT TO NEAREST CM Q1,0.119968009
HGT_CM,ARIC,antc04.antc1,STANDING HEIGHT TO NEAREST CM Q1,0.024640657
HGT_CM,ARIC,antd05.antd1,Description not found,0.30040965
HGT_CM,ARIC,ant.ant3,Standing height (cm),4.043807919
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt1,"Height (inches), Exam 1",0.080192462
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt2,"Height (inches), Exam 2",24.83961508
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt3,"Height (inches), Exam 3",25.50120289
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt4,"Height (inches), Exam 4",22.19326383
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt5,"Height (inches), Exam 5",26.58380112
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt6,"Height (inches), Exam 6",32.55813953
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt7,"Height (inches), Exam 7",34.30232558
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt8,"Height (inches), Exam 8",42.38171612
HGT_CM,Framingham,vr_wkthru_ex09_1_1001d.hgt9,"Height (inches), Exam 9",54.69125902
HGT_CM,MESA,mesae1dres20220813.htcm1,HEIGHT (cm),-
HRX,ARIC,derive13.hyptmd01,"HYPERTENSION LOWERING MED. USE, DEF. 1",0.579845375
HRX,ARIC,derive2_10.hyptmd21,Hypertension Meds (Self reported),0.448364572
HRX,ARIC,derive37.hyptmd31,"V3 HYPERTENSION MEDICATIONS, DEF. 1",0.607254226
HRX,ARIC,derive47.hyptmd41,V4 Hypert Med in Past 2 Wks: Self-rptd,0.600819299
HRX,ARIC,msr.msrf33d,Medication taken for high blodd pressure or hypertension,-
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx1,"Treated for hypertension, Exam 1",0.541299118
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx2,"Treated for hypertension, Exam 2",24.83961508
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx3,"Treated for hypertension, Exam 3",24.65918204
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx4,"Treated for hypertension, Exam 4",21.93263833
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx5,"Treated for hypertension, Exam 5",26.40336808
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx6,"Treated for hypertension, Exam 6",31.85645549
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx7,"Treated for hypertension, Exam 7",30.49318364
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx8,"Treated for hypertension, Exam 8",40.21651965
HRX,Framingham,vr_wkthru_ex09_1_1001d.hrx9,"Treated for hypertension, Exam 9",52.04490778
HRX,MESA,mesae1dres20220813.htnmed1c,Hypertension Medication,0.044027003
HRX,MESA,mesae2dres06222012.htnmed2c,Hypertension Medication,12.35691224
HRX,MESA,mesae3dres06222012.htnmed3c,Any hypertension medication,14.22072204
HRX,MESA,mesae4dres06222012.htnmed4c,Any hypertension medication,17.36131494
HRX,MESA,mesae5_drepos_20220820.htnmed5c,ANY HYPERTENSION MEDICATION,0.169635284
HRX,REGARDS,baseline_calculated_variables.HYPER_MEDS_SR_NOW,-,-
HXCVD,ARIC,derive13.roseic03,"ROSE INTERMITTENT CLAUDICATION, DEF. 3",0.299920021
HXCVD,ARIC,derive13.prvchd05,PREVALENT CORONARY HEART DISEASE,2.19941349
HXCVD,ARIC,derive13.rangna01,ROSE ANGINA,0.239936017
HXCVD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXCVD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXCVD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXCVD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXCVD,ARIC,derive37.prvchd33,"Prevalent CHD at V3, definition 3",2.067946824
HXCVD,ARIC,derive37.v3days,DAYS SINCE EXAM 1,-
HXCVD,ARIC,hhxc04.hhxc1,REPORT ROSE ANGINA IN AFU? Q1,-
HXCVD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXCVD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXCVD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXCVD,ARIC,derive47.prvchd43,"Prevalent CHD at V4, definition 3",1.957214383
HXCVD,ARIC,derive47.v4days,DAYS SINCE EXAM 1,-
HXCVD,ARIC,hhxd04.hhxd1,REPORT ROSE ANGINA IN AFU? Q1,-
HXCVD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXCVD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,,-,-
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date2,Date of Exam 2,24.77947073
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date3,Date of Exam 3,24.57898958
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date4,Date of Exam 4,21.77225341
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date5,Date of Exam 5,26.06255012
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date6,Date of Exam 6,31.61587811
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date7,Date of Exam 7,30.3127506
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date8,Date of Exam 8,40.1563753
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXCVD,Framingham,vr_wkthru_ex09_1_1001d.date9,Date of Exam 9,51.88452285
HXCVD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXCVD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXCVD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXCVD,MESA,mesae1dres20220813.whoros1c,WHO ROSE Intermittent Claudication,9.054886997
HXCVD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
